front_index,volume_m3,head_m,pipe_diameter_m,pump_power_kw,turbine_power_kw,efficiency,cost,ml_autonomy_days,location,pv_kwp,daily_energy_kwh,required_autonomy_days,budget_lkr,reservoir_type
0,436.06159587177734,38.470759035053085,0.10965876731943774,2.0317045260176694,2.039643831818626,70.7394027709961,4115008.670157457,0.40170738101005554,Colombo,30.0,50.0,0.4,8000000.0,new_tank
1,432.44184740875824,38.478097090506104,0.11731416783603464,2.481702070460705,2.156086329013468,71.28285217285156,4125028.321656662,0.40170738101005554,Colombo,30.0,50.0,0.4,8000000.0,new_tank
2,432.2966504262349,38.480351899441274,0.11945998036319312,2.2536282405472634,2.039602842989213,71.64212036132812,4127503.5808054074,0.40170738101005554,Colombo,30.0,50.0,0.4,8000000.0,new_tank
3,434.04103831623524,38.478097090506104,0.11945998036319312,2.112007104663844,2.039602842989213,71.71052551269531,4139459.253496041,0.40170738101005554,Colombo,30.0,50.0,0.4,8000000.0,new_tank
4,432.44184740875824,42.46979915741607,0.11731416783603464,2.142457577268112,2.156506333891559,71.74302673339844,4153996.2030877094,0.42776060104370117,Colombo,30.0,50.0,0.4,8000000.0,new_tank
5,436.4605186810541,38.29825857073576,0.11945998036319312,2.119102648886476,2.104190350964249,71.7928695678711,4158286.463121635,0.40105679631233215,Colombo,30.0,50.0,0.4,8000000.0,new_tank
6,432.4011237489713,38.288656607736755,0.1284687215182067,2.468929871201424,2.03960193082369,72.33087921142578,4166504.007882206,0.40105679631233215,Colombo,30.0,50.0,0.4,8000000.0,new_tank
7,434.7757542594383,38.38477006958485,0.1301859111485819,2.1176073054245053,2.039602248860672,72.72003173828125,4189171.765353589,0.40105679631233215,Colombo,30.0,50.0,0.4,8000000.0,new_tank
8,432.6151683838517,38.482556500110945,0.1345234335769217,2.0813592107394356,2.0396047792858085,73.3534927368164,4191508.2842948185,0.40170738101005554,Colombo,30.0,50.0,0.4,8000000.0,new_tank
9,436.2171368649267,38.30083010772703,0.13393276462226528,2.0318823021747057,2.1034495827821393,73.35432434082031,4216027.717808713,0.40105679631233215,Colombo,30.0,50.0,0.4,8000000.0,new_tank
