front_index,volume_m3,head_m,pipe_diameter_m,pump_power_kw,turbine_power_kw,efficiency,cost,ml_autonomy_days,location,pv_kwp,daily_energy_kwh,required_autonomy_days,budget_lkr,reservoir_type
0,469.1302287881425,44.48343254676356,0.11065035405148192,2.0466803688638135,2.0098624467186617,73.7575454711914,4421714.28510103,0.7616283893585205,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
1,483.76502856220253,41.87991210867829,0.11010907403888362,2.069682876459339,2.0110200478940645,73.770751953125,4514204.231838891,0.7926411628723145,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
2,483.6685244139966,40.000762671102805,0.11433760514375205,2.1773943539002585,2.046420185299727,73.84568786621094,4518804.161233062,0.7684953808784485,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
3,484.08875431323105,40.62119637555201,0.11428459447553352,2.116358377365681,2.013579049517961,73.88859558105469,4525361.014017193,0.7689992785453796,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
4,484.08466939708035,38.46153881184661,0.12026808029226206,2.164523215292674,2.008007660986462,74.6487045288086,4532889.528241554,0.751019299030304,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
5,469.441205889788,44.24768588652009,0.1345162696961847,2.1196134431167564,2.0135966230650455,75.39938354492188,4536882.799138514,0.7530890703201294,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
6,469.12920381198893,44.33299535995939,0.1508529162972957,2.164889416107194,2.0098624467186617,75.78228759765625,4619831.1509538395,0.7577411532402039,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
7,469.1302287881425,44.33304770202118,0.1584859953314149,2.164720062046631,2.046796077154856,75.7850570678711,4661541.387862074,0.7577411532402039,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
8,469.1230531861078,44.33304770202118,0.1604647374370621,2.1186881211520787,2.013653350498924,75.89151763916016,4671007.101255495,0.7577411532402039,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
9,469.2152160026937,44.32649216018619,0.1637676743003486,2.164804778995368,2.01368606978211,75.89783477783203,4690290.886336792,0.7577411532402039,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
10,483.9783478721667,41.79331371688953,0.16044594917664332,2.0696378958779973,2.0083676237079575,75.90132904052734,4752649.675858364,0.7925459742546082,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
11,484.12126792775945,42.82185138741137,0.1603885942252612,2.115863756287052,2.010788760235248,75.90655517578125,4767592.199198617,0.8040698170661926,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
12,484.55894699305776,41.83623202783453,0.16433868535164833,2.119635150562487,2.014759078336582,75.91053009033203,4778629.8152802065,0.7925459742546082,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
13,484.75044668575504,42.17852938989688,0.16309118769530587,2.160064809751277,2.0108051122867967,75.9118423461914,4778632.805683497,0.7954077124595642,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
14,484.0892065209962,42.81078980748577,0.1634928836761375,2.115863756287052,2.010788760235248,75.91527557373047,4783634.868960642,0.8040698170661926,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
15,484.75044668575504,42.80673155685599,0.1646006839288821,2.1186473088201523,2.0108133857828827,75.9175033569336,4794673.854755707,0.8040698170661926,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
16,494.12245875175887,41.79331371688953,0.16046523813627123,2.0730978304849432,2.0083613441402743,75.92913818359375,4831912.720107135,0.7925459742546082,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
17,493.5184438865781,42.80872178896212,0.16064043602983802,2.1648829286533653,2.0083750416211066,75.94606018066406,4842557.568809975,0.8040698170661926,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
18,492.9207339228163,42.81078980748577,0.16345745946703763,2.115863756287052,2.010788760235248,75.9544677734375,4852332.311246279,0.8040698170661926,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
19,483.4006478327378,38.42932781434,0.19178413693429025,2.048997880846059,2.0292017238956137,76.06240844726562,4859349.037560134,0.7519019246101379,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
20,484.63058548792606,38.58749568962813,0.19153705177449284,2.0977545118192746,2.0290473880727844,76.06281280517578,4870940.04776983,0.7581796646118164,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
21,484.10255276841417,38.429636740217624,0.19818104657688687,2.0494172368297177,2.014571099112882,76.12154388427734,4897883.381957572,0.7519019246101379,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
22,484.10255276841417,38.43505771129713,0.20102346772046886,2.0494172368297177,2.007184507880948,76.14371490478516,4912824.3496903535,0.7519019246101379,Jaffna,25.0,30.0,0.75,8000000.0,new_tank
