volume_m3,head_m,pipe_diameter_m,pump_power_kw,turbine_power_kw,latitude,longitude,location,efficiency,cost,autonomy,autonomy_met,pumped,generated,unmet,curtailed
202.61576354497916,19.4729259139267,0.1974900794320409,7.38657446408188,9.930234702036378,8.9,79.9,Vavuniya,75.30471774863132,6181283.169800367,0.020071466511712016,0,3132.2494577926664,2358.7316133738022,13933.511085875582,47794.76193269147
457.38274326546525,21.20219564895578,0.27244046295825974,7.864894299459965,3.5245909520426055,8.9,79.9,Vavuniya,76.7756688369018,9124311.379088204,0.049332744363352346,0,7755.857894711606,5954.611772704487,9514.953106384002,43171.15349577267
75.71995363228365,11.000132873645441,0.2636192951605931,5.476350398950313,6.402220496937071,8.9,79.9,Vavuniya,76.63636466870742,5014000.064104965,0.004237238733187827,0,667.5652598630272,511.59774695023384,14889.797333729544,50259.44613062116
131.4556807911986,24.652767923637818,0.27284744030132424,12.691048381591532,4.103438476569539,8.9,79.9,Vavuniya,76.65097465647446,5282002.992180525,0.016486167542829833,0,2596.649775581144,1990.3573613981034,13539.195062057934,48330.36161490303
248.34211225813127,12.695805453081395,0.1343950159199497,11.67679456512716,9.862645158251343,8.9,79.9,Vavuniya,63.128791535171835,6607153.826968252,0.016039295641938824,0,2151.3566131058246,1358.1254314657094,14126.416575588793,48775.65477737835
336.24881424985847,25.995660582731354,0.2781873339026806,6.341264425347782,7.246321316235168,8.9,79.9,Vavuniya,76.52183787113759,7785310.811902486,0.0444668415063683,0,7002.684665897812,5358.583006665337,11984.51596512004,43924.326724586426
432.3119540944711,23.500902322252863,0.16510574044304413,13.237094746401821,8.034997946611789,8.9,79.9,Vavuniya,76.9533395354691,8969477.64846971,0.05168403895102588,0,7621.4729792830085,5864.977979351686,11768.450606562088,43305.53841120114
169.47212837732403,19.87363174232416,0.10685886600578899,4.598698663694522,3.1589710506030046,8.9,79.9,Vavuniya,77.11156904845288,5509348.442662462,0.01713366159335196,0,2352.4299867482737,1813.9956735479059,13620.893528938946,48574.58140373585
334.63137004750024,26.230417901336295,0.17660875203395954,8.322185543423142,3.446030557115698,8.9,79.9,Vavuniya,77.49693694281693,7709170.791398369,0.04465257662244641,0,6913.848959006241,5358.0211680826715,10105.272477999188,44013.16243147776
466.6769226817136,12.379929108428149,0.14051360363726206,9.335052242677307,5.6874183426184395,8.9,79.9,Vavuniya,77.51573692217019,9141819.50188131,0.029390646974180402,0,3519.8650906999155,2728.4493637222536,12803.282412595032,47407.14629978417
160.11613132249096,26.1317713441987,0.17055760374745355,11.78317162456558,5.782068160734257,8.9,79.9,Vavuniya,76.06071801953973,5670315.981495343,0.02128524241918597,0,3312.1346799721623,2519.2334193610113,13477.374515650356,47614.8767105119
105.0604866575772,28.76739543248973,0.21235286639929846,8.54213790961184,2.571423707183458,8.9,79.9,Vavuniya,76.76756445299708,4965361.891355706,0.015374981943458052,0,2417.3548041437425,1855.7444073286686,13574.95141611405,48509.65658634043
438.03695802108433,17.280255109606024,0.19252249692608442,8.365958137014587,9.5380802139757,8.9,79.9,Vavuniya,73.77540884554075,8985468.62179704,0.03850663488820799,0,5915.909041928928,4364.48608261338,12810.376665534774,45011.102348555214
277.66392508960155,22.90102615169814,0.28827584421605956,9.036489191544362,4.1320153788609115,8.9,79.9,Vavuniya,76.72172946800826,7012650.071183546,0.032348121403999314,0,5090.287506509727,3905.356609888216,11637.959083116632,45836.7238839744
416.2808975696019,23.089765171426002,0.13027499552183566,6.9766301820605205,7.9934416397847885,8.9,79.9,Vavuniya,66.32508899781465,8621396.937339326,0.048896825144269226,0,7014.8284731274325,4652.591227845812,11972.076966051563,43912.18291735658
453.6752817633171,20.68885277241261,0.2898910235116092,8.64450421652875,6.6927493953601624,8.9,79.9,Vavuniya,76.60060316470488,9151691.066616053,0.04774811044590493,0,7510.230381911588,5752.881771603195,11396.485208108152,43416.78100857246
353.3372305381955,26.024538227574073,0.1126276345146992,12.985591369498499,9.10515135434456,8.9,79.9,Vavuniya,69.42662836991444,7938814.885335483,0.046778586646110475,0,4681.59032682071,3250.2703180036774,12414.78670732716,46245.42106366333
420.2160375845534,21.325403747399317,0.19913996357842972,3.9556739997418187,7.970758922337715,8.9,79.9,Vavuniya,74.87577913862972,8730644.568686074,0.04558737113078263,0,7156.758294335093,5358.678533951908,12157.51189356199,43770.25309614907
265.6915379743251,22.322844474768335,0.19939486454884237,9.98038396778271,5.338050963194519,8.9,79.9,Vavuniya,76.80441055717282,6899661.100133257,0.03017184856803446,0,4693.414964621382,3604.7496985795933,12370.437563461839,46233.596425862845
383.12885035404105,16.153875551372487,0.14466340860333649,10.34042358646904,5.202044049604922,8.9,79.9,Vavuniya,79.87149145816537,8132297.938682958,0.031484460240079885,0,4253.33174239814,3397.1994993169665,12274.559434801535,46673.679648085934
120.75327451547923,17.191451762480447,0.22940654776250882,10.18164450302131,8.293927876931537,8.9,79.9,Vavuniya,76.55389940759369,5141825.223868365,0.010560540163543674,0,1659.258880239472,1270.227374090091,14209.585981753282,49267.75251024475
260.23939515046095,29.674884966558082,0.18605547952159618,4.018281350214545,5.233176814496536,8.9,79.9,Vavuniya,76.2057320288873,6842688.719791956,0.03928590372924822,0,6173.661448340316,4704.683899692944,11355.532171226043,44753.34994214386
82.1615810078456,19.090440159252726,0.18160485027843698,6.857981608008367,5.9474845932205955,8.9,79.9,Vavuniya,76.53616511778534,5231148.724408385,0.007979200765859753,0,1250.5829993531402,957.1482693198717,14485.67092880522,49676.42839113104
151.4683016009128,15.416567587233853,0.29378233960611977,4.141388632151434,9.074191979388086,8.9,79.9,Vavuniya,76.55726674712996,5467829.892950246,0.011879115638811952,0,1871.3402400393466,1432.6469393133045,14089.874235456644,49055.67115044482
469.94991590463,26.3189467300313,0.1611129684475725,6.001863208520452,2.3381671663364942,8.9,79.9,Vavuniya,77.56174812597364,9283289.490494922,0.21867131038314117,0,9734.409240071733,7550.177976335942,8178.419710128674,41192.6021504123
285.8630724914544,16.220101680589554,0.24318536470107924,3.70755124010817,2.9089183878950373,8.9,79.9,Vavuniya,76.6270087496829,6951077.5955123985,0.023587737863791588,0,3711.0456588429383,2843.663281706306,12597.796441335959,47215.96573164113
176.87813893468268,14.49632308838591,0.24572199652197702,10.11880858455668,9.256716089337015,8.9,79.9,Vavuniya,76.46636725371508,5806469.53027101,0.013043876642018455,0,2047.2123335166943,1565.4289014102258,14020.343842780692,48879.79905696748
491.5292684453544,17.53892706584101,0.14148127390340054,12.552872855456297,6.3698937671435765,8.9,79.9,Vavuniya,84.05965346974243,9485421.96808494,0.04385580311505323,0,5350.340682171709,4497.477836884192,11621.139869080718,45576.67070831233
284.6437475397887,22.09639938164674,0.11357069317596823,12.481430596480111,9.990163562233006,8.9,79.9,Vavuniya,29.493902944844425,7106627.324213571,0.031996157256563657,0,3618.2228820076234,1067.1551451474813,14343.036110660152,47308.78850847651
373.99114798325644,23.02572715680522,0.27504693098005417,8.627464038056546,8.227642215037381,8.9,79.9,Vavuniya,76.48209255165611,8253677.086655794,0.04380758781916202,0,6890.111764807236,5269.701656872417,12288.18437433301,44036.899625676924
290.95023368784854,24.980377674384755,0.2861172188632299,6.732741038768976,6.788281751213106,8.9,79.9,Vavuniya,76.5615087202645,7225378.945730359,0.036973654065656704,0,5823.046576290042,4458.212312291364,12320.034094416656,45103.96481419403
142.61691113736475,26.6743032709467,0.27120816291640915,9.726730035354926,6.834149128735667,8.9,79.9,Vavuniya,76.5268514280661,5499154.96016258,0.019352575643989272,0,3048.184817301767,2332.679866389391,13895.346855289206,47878.82657318233
321.35009879034277,29.771332626025504,0.13570931301442937,6.889517319226103,2.7632485426526703,8.9,79.9,Vavuniya,78.96878967842025,7406737.469448803,0.08443970701568221,0,7339.401340317008,5795.836408090095,9735.869665332048,43587.610050167066
340.70833365481155,21.562924237286897,0.25586479770810877,3.592970404457239,9.047474977579839,8.9,79.9,Vavuniya,76.07696148348955,7798196.064195509,0.03737361233712957,0,5887.154580248558,4478.768322489187,12766.046505116745,45039.856810235484
129.30622677580607,22.829257410783175,0.13804779047600185,3.4733671945340827,2.3196963166576934,8.9,79.9,Vavuniya,76.87309439391296,5013289.874516623,0.015017093577288714,0,2326.463025746502,1788.424117821592,13633.704035661307,48600.54836473761
400.02485280255127,29.387695581476272,0.16162548699040158,10.606880366752137,8.819847420623248,8.9,79.9,Vavuniya,75.44780061843645,8639837.496564759,0.05980357818755878,0,9075.415925088006,6847.201712454228,11466.745071939431,41851.59546539624
196.56554021696198,25.303407920546732,0.2481439079324897,9.547720453090712,2.4695312628869774,8.9,79.9,Vavuniya,76.79067438966517,6035394.903043412,0.025302361962225687,0,3979.3071779466472,3055.736817981584,12372.28843539882,46947.7042125375
461.44107495666714,14.820421870380287,0.2674484193039872,4.972070267981655,7.178339632748979,8.9,79.9,Vavuniya,76.18278449407559,9149683.84123464,0.034789763762781825,0,5469.5543420021995,4166.85879715389,12507.158905071035,45457.457048481956
210.57377223638753,24.300787728552258,0.2995349640665119,4.267992358116361,8.972110622834295,8.9,79.9,Vavuniya,76.4288084413233,6272298.635723735,0.026031505880953234,0,4102.859501334463,3135.766628891549,13853.723483676402,46824.15188914973
77.63704284421522,20.520273841547972,0.165727659225405,6.529000402786959,8.456583728645793,8.9,79.9,Vavuniya,76.48676066764426,5210126.473276505,0.008104510703366978,0,1266.9691242120525,969.0636417690212,14474.793079097528,49660.04226627209
312.7507534037876,25.534011206655787,0.2450294857691644,4.627927667491237,6.814458359352125,8.9,79.9,Vavuniya,76.36904962675321,7469282.389168838,0.04062487823643883,0,6396.649473468565,4885.060410842656,12091.427011233116,44530.36191701544
200.77007571020687,22.183119542482068,0.1395713344697746,5.436262636555832,5.386291926703702,8.9,79.9,Vavuniya,74.66070193498399,5955985.328277102,0.02265667972000819,0,3430.9084361427044,2561.540321170725,13183.457175191124,47496.1029543414
288.00853299155824,29.43393080098029,0.2606350196343896,5.643923611609462,8.183173425764082,8.9,79.9,Vavuniya,76.44424969771819,7255763.3945515305,0.04312491803360178,0,6792.261913186699,5192.29365703945,12305.221612248763,44134.74947729731
270.82022714813513,27.420176656024406,0.29078749314362895,12.284123790156112,2.0815609841825387,8.9,79.9,Vavuniya,76.74640894106446,6937077.180467976,0.07115628433435534,0,5944.65125151473,4562.306359607601,10867.485073929322,44982.36013896942
388.0557929294938,25.70967450039685,0.13466855812865453,5.60745575768579,7.86635027425391,8.9,79.9,Vavuniya,68.84190925352884,8279268.296528636,0.05075343168552941,0,7658.012156812978,5271.921779617397,11771.775159671019,43268.99923367101
98.27454876132818,17.37221437032479,0.2110284258608684,13.499193283461233,5.618424756654708,8.9,79.9,Vavuniya,76.56652664825864,5552482.256129856,0.008685021568268635,0,1364.1589017991448,1044.4890890706347,14406.527154514297,49562.85248868507
230.6071946898398,24.804051625340513,0.2946966975906269,8.246444954247483,7.260769691447244,8.9,79.9,Vavuniya,76.58396345694224,6527001.765039946,0.02909846919538054,0,4582.391259143789,3509.3768473567948,13073.112888966532,46344.620131340314
358.96577097655074,11.312914547228704,0.20525274238166652,13.923224613249875,6.547735542198554,8.9,79.9,Vavuniya,74.2943896309057,7931496.477198646,0.020658662865787263,0,3175.8613014332827,2359.4867694239956,13765.20103706209,47751.150089050825
354.9171209582377,16.47261061406641,0.1370917966021785,6.169687195729709,3.72732508596217,8.9,79.9,Vavuniya,79.15936483683616,7745472.706987464,0.029741580626199422,0,4216.666609477601,3337.8865053494233,12125.39362778118,46710.34478100663
197.08446811972001,14.710049697454728,0.2585849179992502,11.331161695184782,7.120892250979063,8.9,79.9,Vavuniya,76.42425490567291,6015594.663836696,0.0147482741756746,0,2316.8048082213963,1770.6008123020065,13961.473706742096,48610.20658226272
85.97026319970868,24.576944770763873,0.13871173408630588,4.282507360351449,9.633405381556619,8.9,79.9,Vavuniya,75.64004712097882,5289608.296346878,0.010748573064190513,0,1662.3757778942497,1257.4218217269488,14219.356931174612,49264.635612589955
399.41299838935606,12.452711353433402,0.1337948426734437,10.058479832528024,9.657535341597542,8.9,79.9,Vavuniya,22.239839597836685,8400191.627199598,0.02530234534005726,0,3011.7253316642064,669.8028828895344,14693.52511526815,47915.28605881998
137.6748212774258,18.10380084935594,0.24237598295246823,11.61329668194032,3.2487017212928406,8.9,79.9,Vavuniya,76.71699097017178,5258129.745014044,0.012679407156450467,0,1992.9730881098708,1528.9489840432032,13923.926763695834,48934.03830237427
236.17831057822542,13.879583984588145,0.1606457360286896,9.292285805721825,8.055208343823372,8.9,79.9,Vavuniya,72.06702485537406,6505078.866680758,0.016675970719392877,0,2495.2889803230796,1798.2805296628435,13949.496520124381,48431.72241016112
221.95204570750784,11.94686086426665,0.11642677704989698,3.6082836661347653,6.37908573860207,8.9,79.9,Vavuniya,44.1516256077006,6151594.146855947,0.013489244331172939,0,1825.7884074500714,806.1152620461547,14603.292113417467,49101.22298303405
135.29374852228,26.960107852828664,0.18704213446937107,14.762128402848496,3.86959158937473,8.9,79.9,Vavuniya,76.77230541104588,5365822.114809014,0.01855555796341654,0,2905.5048615449973,2230.6230660381107,13264.183347142394,48021.50652893908
498.80665816989006,10.171355011395752,0.2662036234210394,6.65350385202693,7.492253786887616,8.9,79.9,Vavuniya,75.58399313201798,9574011.578333877,0.025809864096841204,0,4033.2691806897424,3048.505900528333,13539.02868246068,46893.74220979435
113.25391382319033,23.147762445911432,0.28020513831667915,11.14675590349661,9.951830515981161,8.9,79.9,Vavuniya,76.60350870085857,5160310.310445532,0.013336347374105596,0,2100.8239654004074,1609.3048691252231,14003.782910731168,48826.18742508372
463.7869949104773,15.366842031973302,0.23836240866696998,10.466048636873671,6.152819052253648,8.9,79.9,Vavuniya,76.81203763531232,9194733.384622307,0.036255830373234356,0,5632.709227752969,4326.598731909321,12167.795251622858,45294.302162731154
468.2750348103464,25.902306021747542,0.21436193184439456,8.902843373022534,8.605094208274743,8.9,79.9,Vavuniya,76.15814244826535,9427476.113314984,0.06170411075928832,0,9644.99989477355,7345.452758996683,11217.534866163576,41282.01149571036
109.57865170347472,26.927339180666866,0.11965092273006478,5.486109937321377,3.032658768245539,8.9,79.9,Vavuniya,78.2561698971001,4838750.709994383,0.015010461892946364,0,2241.705058632286,1754.272519275169,13686.64398973872,48685.306331851825
179.95872097782092,27.516033754370742,0.27966823856541767,14.928651416320761,8.827053840594226,8.9,79.9,Vavuniya,76.46909771768071,6016325.727474902,0.025190303175963887,0,3967.2781800784287,3033.7418282563985,13874.710815354874,46959.733210405684
249.53407923215056,23.740372545727634,0.22814684102834706,11.08239358172867,4.465585885969212,8.9,79.9,Vavuniya,76.83043068945487,6683013.509962736,0.030136447709010115,0,4722.999513936516,3628.700868018286,12006.1700217961,46204.01187654763
394.9071261620219,21.639175395595856,0.11810051500672689,14.543218813490324,6.455761027008554,8.9,79.9,Vavuniya,93.93161520105274,8368625.012954837,0.04347207205094224,0,4121.979240489818,3871.841678844172,11812.250521860487,46805.0321499943
51.796709644617195,10.249125048573534,0.21995909671270528,10.640072837731164,9.15819730980974,8.9,79.9,Vavuniya,76.63530925620404,4634934.666911132,0.0027006209187799093,0,425.3915150397407,326.00010310035697,15058.078343474968,50501.61987544445
